transactionHash,blockNumber,timestamp,position,isError,callingFunction_internal,callingFunction_normal,callReward,rewardCount,transactionFee,coinbase_transfer,total_miner_reward,flashbots,ethPrice,revenue_eth,revenue_dollar
0xfc28acb42246e7db693a9fef44352950f1f10be18000cd265c9396048f02bc9a,13722505,1638381578,1,None,0x88c2a0bf,0x0101011a,32000000000000000,1,32211516657796428,0,0,False,4576.921608746373,-0.0002115166577964303,-0.9680951616782938
0x1d234508234890219253223c8258d9e60a33e84ab935a3bfb76579e5c4345139,13432830,1634438410,1,None,0x88c2a0bf,0x00011ea8,40000000000000000,1,12909728533198560,21640000000000000,21640000000000000,True,3845.909072752931,0.005450271466801441,20.961248483138085
0xcaaf34c7a2084a8bfaf7e51b65f6557ba03687fad4488c49e541237604a26ce9,13176884,1630993781,2,None,0x88c2a0bf,0xc0bcfd4c,40000000000000000,1,23985549007032880,8008840000000000,8008840000000000,True,3432.079160627526,0.008005610992967122,27.475890657053093
0x2cf16672228a129400cb6349c296452d11530ae60e04bee0dafb223bfad0e2d1,13065084,1629500975,0,None,0x88c2a0bf,0xc0bcfd4c,16000000000000000,1,7332371852755250,5461232000000000,5461232000000000,True,3275.8744596305423,0.0032063961472447514,10.503751246216853
0xfbb90331fa6fd1060454e9b7cc147b1e15c6519b3c479552ac1af772364d7897,13355275,1633386236,4,None,0x88c2a0bf,0x00011e92,40000000000000000,1,18666581886024034,11560000000000000,11560000000000000,True,3387.818600444152,0.009773418113975967,33.110567676445584
0x0bdf392bfcedb5ce9f45c49c372acb47ebd315c5c6e10dc1e4090a6172841fa5,14986304,1655574937,0,None,0x88c2a0bf,0x01010113,16000000000000000,1,15511609668030484,0,257009,True,996.6763368567326,0.0004883903319695161,0.4867670870236209
0xe69b9d2ea544cf5c5f1f3136fa3b57f30032fb585d400eeae674d94d27175421,13131639,1630389806,6,None,0x88c2a0bf,0xc0bcfd4c,24000000000000000,1,13804059867724516,0,0,False,3426.175586458122,0.010195940132275485,34.93308116219086
0x33749b63a61d56ba4373f61b04438125ff1541340b063f8dbf80a6347a592ce6,13159922,1630768215,0,None,0x88c2a0bf,0x96bc3e6f,40000000000000000,1,25500475532569948,0,558760400253982,True,3887.698166445348,0.014499524467430053,56.369774686357275
0x1c140ad97c68c819382aec278b78c2bd2c3bfe176e3f9374175560292779a37a,13191606,1631191729,17,None,0x88c2a0bf,0x01000000,40000000000000000,1,25296896675383125,0,0,False,3435.3967512891218,0.014703103324616877,50.5109933952571
0xa7a3a3867ec93d8532e3eb806dc95ada65dded6641562ba2dab7b9782b69f8e8,13620438,1636980849,0,None,0x88c2a0bf,0x01010111,40000000000000000,1,28772759425603812,0,0,False,4572.830999274668,0.01122724057439619,51.340273734913225
0x9e74e44c5e84f34badc5b44f4f68fa92d1754a0ed9055a6bd39ed2e1be288f39,13244917,1631904098,98,None,0x88c2a0bf,0x01000000,40000000000000000,1,21498788371203796,0,0,False,3392.7420314805504,0.018501211628796206,62.76983832633362
0x8bd2f8d02674adee4c1a5defd97dd82bc91162c24f6e0b754d3f67b6749277e5,14654359,1650897422,1,None,0x88c2a0bf,0x00011eb3,24000000000000000,1,13065570187831278,9648000000000000,9648000000000000,True,3013.7983711316033,0.0012864298121687216,3.8770400724892276
0xa0fcd6b0fa855a01af7a54e1ee51eaa423eb0acd0f28bf619b2f133c9f21e569,13068936,1629553079,0,None,0x88c2a0bf,0x96bc3e6f,16000000000000000,1,7976315763699822,0,510642000000000,True,3234.9692877259763,0.008023684236300179,25.956372078842133
0x47301a0e7f837319a94cf5d7d8f381e72867c595f2250390ad98267525a0a53d,13779096,1639161788,0,None,0x88c2a0bf,0x00011ac2,32000000000000000,1,16232539876569395,12704000000000000,12704000000000000,True,3894.6884352929087,0.003063460123430603,11.931222714706156
0x44b0f4846fe0ad7ba11ebf9c8d9c111fcdb35bca8925002d9f868e758119c848,13104713,1630030183,0,None,0x88c2a0bf,0x96bc3e6f,24000000000000000,1,14589669156142080,0,0,False,3272.4202372498075,0.00941033084385792,30.794557092656717
0xef15ddb828f3ebcacd49bcd79984df6e06e6566979d674d2850c6609c8c5f229,13780801,1639184782,1,None,0x88c2a0bf,0x0001145c,32000000000000000,1,28795506196196427,320000000000000,320000000000000,True,4079.8873113960585,0.0028844938038035716,11.768409669938743
0xdbb35fd940b2a2332271743733135900a8ae44a07c123409be97fc3a2b0e3fab,13945073,1641380723,0,None,0x88c2a0bf,0x000113e7,64000000000000000,1,26877400085895674,32576000000000000,32576000000000000,True,3543.1222041052815,0.004546599914104325,16.1091591088462
0x0b701a37d0861791e1c38ccc7e3ed7bb6b0dfa8c9d4641a3880d5b2d295e8b8a,13214049,1631490819,48,None,0x88c2a0bf,0x01000000,40000000000000000,1,15194211253213860,0,0,False,3412.109186895813,0.024805788746786142,84.64005967110577
0x07d42efbfe2bf06dabe2382c2e4db7ca3b78cf81b065ce95769f79ab93f66272,13069414,1629559412,110,None,0x88c2a0bf,0x21010000,16000000000000000,1,9028068177866619,0,0,False,3234.9692877259763,0.006971931822133381,22.55398532072089
0xea6f9d762660eae954b249e13b8202dda4c812bf806e12cee2166d409f97308b,13070014,1629567287,4,None,0x88c2a0bf,0xc0bcfd4c,32000000000000000,2,18330552427784126,0,0,False,3234.9692877259763,0.013669447572215873,44.22024307629876
0x2581741a12b0f7a0715177e5f243b87633794b3cb32486c198335309857380e2,13092969,1629873757,3,None,0x88c2a0bf,0xc0bcfd4c,240000000000000000,10,108462693366772306,82869600000000000,82869600000000000,True,3220.9244167570623,0.048667706633227684,156.7550046025327
0x0e05c1b3350593eba90c662970534218890b7f662cbd83676b1d77c3f687e2cc,13067704,1629536478,60,None,0x88c2a0bf,0x21010000,160000000000000000,10,62586492921573156,0,0,False,3234.9692877259763,0.09741350707842684,315.12970360838784
0xe8657625d643dbe76f85a0184b3cb78690b5a0e510dfe8db060ed0493f0e17e5,13074400,1629626273,46,None,0x88c2a0bf,0x21010000,48000000000000000,3,18772063711454336,0,0,False,3243.0978995017845,0.029227936288545666,94.78905878415443
0x56b0312931e54cbb9c7d726fd7abbbf72c8ed4b0e4f6e119aad071ac6d27cef1,13350655,1633324023,2,None,0x88c2a0bf,0x000100a7,40000000000000000,1,19634584311358976,12480000000000000,12480000000000000,True,3387.818600444152,0.007885415688641024,26.714357942212192
0x337a8af0987ef8cd7526551d4909db2ef3feee0166d698cb2541030492fe4fea,13654186,1637442932,244,None,0x88c2a0bf,0x0101011e,32000000000000000,1,27301989197563584,0,0,False,4405.166805669194,0.004698010802436418,20.695521239568205
0x721ec6c898301a369dabb8595739fc0642779a98fa2a3f4b5d1831fcaa944849,13068589,1629548539,92,None,0x88c2a0bf,0x21010000,16000000000000000,1,5412319842929888,0,0,False,3234.9692877259763,0.010587680157070112,34.25082013638755
0xd1aa3c7658dba7aa838593b87fcf36ceb12935c525acfd36fec304b3add0e278,13114829,1630166166,0,None,0x88c2a0bf,0x96bc3e6f,72000000000000000,3,37542617204617455,0,1623251301341530,True,3242.2561046854644,0.03445738279538254,111.71965971981292
0x19c80a44c217f01ece59756db4865457083c49ea42e5ee1662092fc765936a01,13070636,1629575564,0,None,0x88c2a0bf,0x96bc3e6f,16000000000000000,1,6908838244984240,0,0,False,3234.9692877259763,0.00909116175501576,29.40962906722497
0x7f68052451665d246b7951f2a5ca71f121a9345ddee15d00d3e227f4725c5ce2,13805447,1639513639,0,None,0x88c2a0bf,0x0101011e,32000000000000000,1,22955749204698628,0,0,False,3860.231395203065,0.009044250795301374,34.91290086611265
0x5f3ff94f5e661d3cf64b9429e1ff12ae9365a06197a9c98be57c71606818e561,13195646,1631245436,0,None,0x88c2a0bf,0x96bc3e6f,40000000000000000,1,19547967930199293,0,1098807913234028,True,3205.1171776011956,0.02045203206980071,65.55115930376878
0xeab3938b8f2930730a541f8d1d67ec847a7b68e83b87088bc9ab9719f9b02898,13510191,1635484133,3,None,0x88c2a0bf,0x00011ea7,40000000000000000,1,34791775994651256,3560000000000000,3560000000000000,True,4432.431548805354,0.0016482240053487468,7.305640080806111
0x469a4bb01161d63d0be37d55d6a3829c57683689401e4a0889d279d7d521281a,13432019,1634427198,1,None,0x88c2a0bf,0x00011c5e,40000000000000000,1,19506563131921075,11080000000000000,11080000000000000,True,3833.8378405207486,0.009413436868078925,36.089590474194104
0xb04110948d9e633236da68b46b1b05db474da6e04bde5001525c070f1ae88d6c,13273004,1632279360,3,None,0x88c2a0bf,0x00011ea0,40000000000000000,1,18694090789862850,12080000000000000,12080000000000000,True,3067.420096426366,0.009225909210137152,28.2997393189798
0x2bc20832e9afc58c2499ddfca39d46bfd12f2b3353fbca3962508bb0c7d87490,14039907,1642647787,0,None,0x88c2a0bf,0x01010110,40000000000000000,1,40662923053987173,0,510358000000000,True,2995.178574912301,-0.0006629230539871786,-1.985572928117828
0xbcffaf633a450049813d434b1b9251f7cfdf50343cbba6386fd33a729413631d,13618893,1636959798,0,None,0x88c2a0bf,0x01010111,40000000000000000,1,29955461903597760,0,0,False,4572.830999274668,0.010044538096402243,45.93197518062354
0x85a59e256f977e0cf8faf760eb56f3a52f2d26e73c61cf815927d2948913329f,13163580,1630816301,0,None,0x88c2a0bf,0x96bc3e6f,40000000000000000,1,19455530492171571,0,678147162764253,True,3949.6718922059836,0.020544469507828428,81.14391375535284
0xe717444b9a76fa2d55d899363f56ed6cc1b756931044c8427d785422a52fc169,13015191,1628836152,2,None,0x88c2a0bf,0xc0bcfd4c,16000000000000000,1,10502832509406340,4536320000000000,4536320000000000,True,3311.616306656576,0.0009608474905936602,3.181958218060016
0xa96e1f0b1e34e330d39e4ecb7bd61e2b0dbc1ac289097af106eecae7bb7d3a1b,14541218,1649367176,0,None,0x88c2a0bf,0x00010850,32000000000000000,1,13223838923363852,16288000000000000,16288000000000000,True,3239.82932436739,0.002488161076636148,8.06121721983533
0x37b683c59a9c478c80459c17f4b5618a81e47dff824dd6bb450d3a2e55c20dfa,13015519,1628840574,4,None,0x88c2a0bf,0xc0bcfd4c,16000000000000000,1,7618932549839535,6915232000000000,6915232000000000,True,3311.616306656576,0.0014658354501604649,4.854284579626678
0x934efe27f24bdd5a4490126b7a824e4f19011232d213fe802e6351a003eea779,13011043,1628780526,4,None,0x88c2a0bf,0xc0bcfd4c,16000000000000000,1,13099817235212288,1828224000000000,1828224000000000,True,3040.91045162258,0.0010719587647877117,3.259730611551383
0x56a92395a95cc590c32183062bd8b67183decb8f797754496c2821d0bd75ccd0,13028426,1629012999,190,None,0x88c2a0bf,0x21010000,16000000000000000,1,6537945670328206,0,0,False,3313.7358254630212,0.009462054329671794,31.35474841471092
0x93c3aec4b8e149b154dea672ce8a62f794eec8789561939cccc99f6bda0964bc,13605932,1636782433,0,None,0x88c2a0bf,0x000102be,40000000000000000,1,28303168706357975,0,0,False,4656.940693300605,0.011696831293642025,54.471449634033505
0x8aa46b35d2f8f559732d3834f86f5a375541f6d7c1fbe624d7576f9eb51a57e9,13044803,1629230699,86,None,0x88c2a0bf,0x21010000,16000000000000000,1,14749433327707400,0,0,False,3015.3646782278192,0.0012505666722926,3.7709145714000103
0xd79c88a77534e798bf1c28651a19c3dfad1017af180d3f0b1177369e1393ffb1,13710417,1638214459,50,None,0x88c2a0bf,0x01010105,32000000000000000,1,33330355452913376,0,0,False,4435.232765536468,-0.0013303554529133788,-5.900436094571525
0x2f46cb154a3e6d2c4180a01840f42817d0b9b3f4fbc102ab85106406ad73f022,13718504,1638326050,0,None,0x88c2a0bf,0x0101011e,32000000000000000,1,29887600479700596,0,0,True,4576.921608746373,0.002112399520299405,9.66828701076382
0x5ab2382b3be8210780ec139579a6ecba0740fbfe3d2e2fa2efff38c2a778c2c4,13243361,1631884265,0,None,0x88c2a0bf,0x96bc3e6f,40000000000000000,1,20695098273253549,0,0,False,3392.7420314805504,0.019304901726746454,65.49655150193415
0x00efe9d77baaaa48bd4a47428c972346be571539de29d1166be419268a3e7ad4,13672990,1637699832,197,None,0x88c2a0bf,0x01010102,32000000000000000,1,35064811202075740,0,0,False,4346.716812707214,-0.0030648112020757387,-13.321866379836019
0x5b278f27f7398066f15318124a10c4f23ada3023869ae6af7593a6541297942d,13160921,1630780853,12,None,0x88c2a0bf,0xc0bcfd4c,40000000000000000,1,25266273779355064,7368560000000000,7368560000000000,True,3887.698166445348,0.007365166220644936,28.63354321156653
0xee58d48ac17aed45da107dd682482ebc73ec7c85b25d35f86f51f3160bc99bf7,13064422,1629493061,104,None,0x88c2a0bf,0x21010000,16000000000000000,1,10344546919967718,0,0,False,3275.8744596305423,0.005655453080032282,18.52655430251664
0x8f7ea8fa6d2cbbe29b4298a0ddc775dfeaf51a45d73a13301ee1ef94768c6d55,13231024,1631718677,0,None,0x88c2a0bf,0xc0bcfd4c,40000000000000000,1,24872405869938394,0,0,False,3603.99433345243,0.015127594130061608,54.51976352351028
0x50170c001c784e04451284b2e71fc43bb4cd7e45cd86c9fd8ea4a9e3d825cf03,13064885,1629498421,110,None,0x88c2a0bf,0x21010000,16000000000000000,1,7547021619802560,0,0,False,3275.8744596305423,0.00845297838019744,27.690895983497942
0xfe8ae32d62106bdd0f72c7cb854be9308756447ddee33bbe9fdc5fe4534af0d1,13769110,1639026020,0,None,0x88c2a0bf,0x00011607,32000000000000000,1,17024698038769728,12064000000000000,12064000000000000,True,4116.417678694034,0.0029113019612302723,11.984134861224907
0xa51a1c341041f81e6f7761220d3489e8ca64352798c032d1a588508844dc3d54,15886365,1667440751,14,None,0x88c2a0bf,0x38ed1739,8000000000000000,1,4752677258630068,0,0,False,1530.589734744137,0.003247322741369932,4.970318853342008
0x668c9036068326bf282485be79f0a4ada6b08a0e576e55822ee12606ff971b59,13345266,1633251669,3,None,0x88c2a0bf,0x0001080f,40000000000000000,1,9361579060065830,23920000000000000,23920000000000000,True,3427.4301334200054,0.006718420939934171,23.026918378530336
0x0cf23a317aad6b7872528ce04cca73472dc5271c12bb4c5c01edd2fd1f3664cc,14234383,1645245012,3,None,0x88c2a0bf,0x0001138c,56000000000000000,1,13650737763227760,37296000000000000,37296000000000000,True,2756.579088721738,0.005053262236772237,13.929717011713583
0xcce8153f273eeae318584d8c724be73f7a9cefb3142652690c97ba9c734f6fe3,13053381,1629345799,0,None,0x88c2a0bf,0x96bc3e6f,16000000000000000,1,7442971386100788,0,747200507820696,True,3175.9473589168465,0.008557028613899212,27.176672426489088
0x0d37b1b9d98535fd82ef95d9624ce3c6d7856ab891ad6ece0f714396216d8490,13409948,1634127442,0,None,0x88c2a0bf,0x00010b53,40000000000000000,1,24813040376056304,10680000000000000,10680000000000000,True,3591.5235728697526,0.004506959623943695,16.186851731365977
0x7b710d4fdb53f3904181fbd372f6d2b40508a5850d1169740727bd4cd4f6bd2b,13344235,1633237069,6,None,0x88c2a0bf,0x00011c75,40000000000000000,1,11703549414630420,22520000000000000,22520000000000000,True,3427.4301334200054,0.005776450585369582,19.798380800507335
0x9e225837e838e87f974a71a71e2a3a9907d2319e31013764cf98b0711bb5f457,14554344,1649544992,2,None,0x88c2a0bf,0x00011c29,16000000000000000,1,7619977491605340,7008000000000000,7008000000000000,True,3256.9845972087574,0.0013720225083946602,4.468656176865132
0xb7dfc0e2f1240619105e9ee1aa88db1291951277bc21235651c52e775ed83902,13072295,1629597899,54,None,0x88c2a0bf,0x21010000,16000000000000000,1,9590534887931888,0,0,False,3243.0978995017845,0.006409465112068113,20.786522841878067
0xb0e1308fe6c35798ef3339ea4cc7cb69b57f5680b44fe3e0b5fede65139ce50b,13223373,1631616424,3,None,0x88c2a0bf,0xc0bcfd4c,40000000000000000,1,11128757452750758,0,0,False,3425.5491366091064,0.028871242547249244,98.89985998056174
0x21e0f8d68d08eede75fa117a2efe2233cd214a94ad2ed43b40693a30ff582c04,13696922,1638028368,0,None,0x88c2a0bf,0x01010113,32000000000000000,1,23451014760910056,0,0,False,4080.0688248969946,0.008548985239089944,34.88044815851546
0x64e96c4c444b2e3b8c15386f5a4c49420820f5d28a4a366dec8229d68a306885,13114562,1630162673,83,None,0x88c2a0bf,0x21010000,24000000000000000,1,15430316378359263,0,0,False,3242.2561046854644,0.008569683621640737,27.785109037487718
0x598ea70d537b474ccff98574d57bc84e3310fa1c9d5ab31b853f0c31c5a26aae,13359952,1633448969,4,None,0x88c2a0bf,0x00011d32,40000000000000000,1,36109485977819520,2960000000000000,2960000000000000,True,3522.7604106375998,0.0009305140221804774,3.2779779588805433
0x9f2866b9e1c8c443ca5bb2526702c021ad62e164e7202985daf013b263900376,14903769,1654353470,2,None,0x88c2a0bf,0x00011651,16000000000000000,1,12462688054422760,2656000000000000,2656000000000000,True,1800.8801509009872,0.0008813119455772411,1.5871371895419848
