blockNumber,timestamp,transactionHash,from,to,toCreate,fromIsContract,toIsContract,value,gasLimit,gasPrice,gasUsed,callingFunction,isError,eip2718type,baseFeePerGas,maxFeePerGas,maxPriorityFeePerGas,position,coinbase_transfer,total_miner_reward,punkIndex,nftPrice,ethPrice
13000672,1628641450,0xc64894c713e0763d2256e0415a31ba02ace696562ad222abb566b066618f564f,0xbc668f251657a016df6551ade1b0a88a100a2a42,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,42500000000000000001,200000,44281137191,65477,0x091dbfd2,None,2,44281137191,53319666398,0,0,0,0,none,0,3173.1503160398265
13000672,1628641450,0xda5f120b99527ae00b565d2001b12164fddb9a8ae7831029acc77cfefe2f44c4,0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,0,200000,56000000000,98479,0x23165b75,None,None,44281137191,None,None,1,0,1154061890567511,551,48.0,3173.1503160398265
13000672,1628641450,0x4479d31a5b17ef3b36ef17968e8f1dff6c8afd5b10be07d04ddc09493949ff71,0xbc668f251657a016df6551ade1b0a88a100a2a42,0xc4595e3966e0ce6e3c46854647611940a09448d3,None,0,1,108260891141958468,200000,44281137191,39092,0x24835805,None,2,44281137191,53319666398,0,2,108260891141958468,108260891141958468,none,0,3173.1503160398265
13012948,1628805719,0x9c1335bf987de49f56315e03b5b31cbc2d91a8bb0845436ccba05b1d2f6259cc,0xbc668f251657a016df6551ade1b0a88a100a2a42,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,41000000000000000001,200000,291382251196,65477,0x091dbfd2,None,2,291382251196,399823197979,0,0,0,0,none,0,3040.91045162258
13012948,1628805719,0x5480975675a6120134fa233b4ee7bba9159ba40f16576221578c6b49f059ca02,0x2b9324f66b7733202261777726d8f9720285cb8a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,0,200000,321000000000,98479,0x23165b75,None,None,291382251196,None,None,1,0,2916726284469116,7693,43.0,3040.91045162258
13012948,1628805719,0x0ee2b4d6f1a53082e1c38cab2584a13e8f1ffba5f3c4fef8b197ed0d8a02d442,0xbc668f251657a016df6551ade1b0a88a100a2a42,0xc4595e3966e0ce6e3c46854647611940a09448d3,None,0,1,100000000000000000,200000,291382251196,39092,0x24835805,None,2,291382251196,399823197979,0,2,100000000000000000,100000000000000000,none,0,3040.91045162258
13056183,1629382504,0xc083c1f8831ffa159e42239e885b3d5ba46bc1948e498680540d6cc9aaa3f878,0xbc668f251657a016df6551ade1b0a88a100a2a42,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,10000000000000001,200000,37781445807,65477,0x091dbfd2,None,2,37781445807,40214869331,0,2,0,0,none,0,3175.9473589168465
13056183,1629382504,0x12a70cd7dffeb48af2805488152e2d4c89c01c9247063ccd00c0b0f0b47561f6,0xc08fd8505a4665d5fe1a6b8eacb65ff7936ec3cd,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,0,200000,44000000000,97964,0x23165b75,None,2,37781445807,44000000000,44000000000,3,0,609194442963052,8667,49.0,3175.9473589168465
13056183,1629382504,0xceef4add47560c1bc837b653eff788e991f5f4c11976a230326773d2c30b52b9,0xbc668f251657a016df6551ade1b0a88a100a2a42,0xc4595e3966e0ce6e3c46854647611940a09448d3,None,0,1,26509000000000000000,200000,37781445807,39092,0x24835805,None,2,37781445807,40214869331,0,4,26509000000000000000,26509000000000000000,none,0,3175.9473589168465
13428480,1634380025,0xba615b8a4ef2cce68f539ecf5f21887cfeefa3329cebc02ea89901d7405f6de9,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,101000000000000000020,100000,60319579548,65477,0x091dbfd2,None,2,60319579548,96000000000,0,1,0,0,none,0,3833.8378405207486
13428480,1634380025,0xfbb7b51d9d9b4838303413504e24c0f1c821c3d1de0f3e592726a4ad4c4b4dd0,0x0e3c7999e9db48c8fbe2dae0ee08311f0ef75091,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,0,200000,96000000000,84304,0x23165b75,None,2,60319579548,96000000000,96000000000,2,0,3008002165785408,1316,103.95,3833.8378405207486
13428480,1634380025,0xed61e6c652e54e6132661b79badece767270eff13740b85aee67b6e1d87342a8,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0xc4595e3966e0ce6e3c46854647611940a09448d3,None,0,1,48750000000000000,60000,60319579548,38418,0x86b738be,None,2,60319579548,96000000000,0,3,48750000000000000,48750000000000000,none,0,3833.8378405207486
13456578,1634759755,0xc701c7bb7fcfffb4e39ff01f36d4703de2d2aff475b991130f161216f9a8a407,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,108880000000000000020,100000,84061715264,65477,0x091dbfd2,None,2,84061715264,135000000000,0,0,0,0,none,0,4150.176647609908
13456578,1634759755,0x904041fb4855c13a0e58f5ead031492d5c15172ad40caaeb9b0b9d597e26a856,0xd037a13921d1c630bf5cce91f4845cce351beb46,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,0,200000,135000000000,84304,0x23165b75,None,0,84061715264,None,None,1,0,4294301156383744,5427,123.0,4150.176647609908
13456578,1634759755,0x7bf128dba6d84bbb649c84f4f9df159177cadce0429bd183316f9e1a1d8c4a8d,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0xc4595e3966e0ce6e3c46854647611940a09448d3,None,0,1,75000000000000000,60000,84061715264,38418,0x86b738be,None,2,84061715264,135000000000,0,2,75000000000000000,75000000000000000,none,0,4150.176647609908
13488041,1635184215,0x992ed34889d3a36dfb10c763bed0b4563910794526365313b275ad0e7b1cf55e,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,None,0,1,90000000000000000020,100000,111299464748,65477,0x091dbfd2,None,2,111299464748,148000000000,0,0,0,0,none,0,4204.4905244621505
