blockNumber,timestamp,transactionHash,bidPrice,coinbase_transfer,nftPrice,ethPrice,revenue_eth,revenue_dollar
13000672,1628641450,0x4479d31a5b17ef3b36ef17968e8f1dff6c8afd5b10be07d04ddc09493949ff71,42.5,1.0826089114195846e+17,48.0,3173.1503160398265,5.387108674623116,17094.10559342123
13012948,1628805719,0x0ee2b4d6f1a53082e1c38cab2584a13e8f1ffba5f3c4fef8b197ed0d8a02d442,41.0,1e+17,43.0,3040.91045162258,1.8695304493746854,5685.074683130139
13056183,1629382504,0xceef4add47560c1bc837b653eff788e991f5f4c11976a230326773d2c30b52b9,0.01,2.6509e+19,49.0,3175.9473589168465,22.477049231993405,71385.92514459339
13428480,1634380025,0xed61e6c652e54e6132661b79badece767270eff13740b85aee67b6e1d87342a8,101.0,4.875e+16,103.95,3833.8378405207486,2.8949830972828634,11098.895746031001
13456578,1634759755,0x7bf128dba6d84bbb649c84f4f9df159177cadce0429bd183316f9e1a1d8c4a8d,108.88,7.5e+16,123.0,4150.176647609908,14.036266408092652,58252.98506649753
13488041,1635184215,0x836d2ae87555dec2be129735e240fb96c6b6e69cefa305d4c05f5b46ec9d24f9,90.0,8.475e+16,95.95,4204.490524462151,5.85368654211001,24611.769599473155
13507748,1635451295,0x0d1b11ff829842806732ab970602b13185b301ba97449b99cc33fe5fc1db0f85,99.0,1.4175e+17,92.95,4275.237414049306,-6.213538322720504,-26564.35151092387
13512971,1635523009,0x553962f1774a7a6f85f7819efd0a471de169d943e0b62a276a43b9011d51a7fb,110.0,9.54e+16,121.95,4432.431548805354,11.834554040152668,52455.85069361455
13550671,1636035002,0xe796ad986a850efa8e81d41a8821a1b1cd662b87ac19ff01f91d7dc9f02e9b7b,86.0,4.32e+16,89.0,4522.064376140103,2.9424582579016936,13305.985666336517
13723379,1638393392,0x3b327762e3214a7cae8959c9221067b5120206779aa4e56096bcabf9d3912d0d,105.0,4.2e+16,109.95,4576.921608746373,4.890991587804244,22385.685086417976
13752803,1638800592,0x5d4bac834b05f5af92042e42f0731710e6cb48663f5ba15278184301b46200c6,73.0,3.553580702369317e+16,84.99,4345.504873610022,11.943652357456187,51901.19952802968
13752957,1638802810,0x63f964f41da3d64a4b463a411cf3ae22ae0d8204ce24aa45ece5ad1a28548ca0,85.0,5.372850459437828e+16,98.99,4345.504873610022,13.923312081488506,60503.8205069016
13811409,1639593554,0xaab3a135939a23e78900b517d4c8a6083e25a8cc664df7cac0f7129f1f312c59,60.0,4.486674172601511e+17,64.99,4018.645137893879,4.526994983961643,18192.386381567438
13816096,1639656258,0x1bc120a5f5dc268f305747b542c1b53ae896722239cc2e86177a18f7b9199adb,64.0,3e+16,89.95,3972.841711348538,25.915587465545592,102958.52685722087
13916211,1640995681,0xa1bf2e010cb28626c834033529713487d57b1e2897c60a6f22cee265be5c06a9,55.0,1.240154817320496e+18,69.99,3755.769795655771,13.741470052493899,51609.798171064904
14003541,1642162116,0xe2f61174a46d9a9b62bd6585863eb3c4d796c2fdc67ecb7df4cfb760115f75d6,50.0,2.526590708403062e+18,61.95,3307.8709302373454,9.41016236094614,31127.602522587364
14024059,1642436491,0x08fec5bea7bcb83fa3a246f2c178efb29e5c60a974da27d89262deef6f9b45eb,58.12,4.2365992863199864e+16,66.49,3210.454287548921,8.311838110515271,26684.776299316276
14025107,1642449950,0xb059dc9b6e2b502ddbed84ab6b9243f45310e2f97ad76c86e448c0c9d9ce9bdc,57.0,1.878289912791722e+17,60.49,3210.454287548921,3.2771378741318293,10521.101338895487
14093579,1643364993,0x85abee9f3b65065490b7433782ab79afc341b693b613530aa074ab45b7a8ea2b,81.5000000000001,0.0,84.94,2540.247077360622,3.407022471234833,8654.678875056248
14116306,1643667310,0xad096bcae135baa14911930fabb50a1bb0b4fda2195945ebad1b9a94123fb947,103.0,8.1e+16,94.95,2687.235360789504,-8.14451179651518,-21886.220095962843
14166979,1644344189,0xd798b61ef705278e890ec096e4dc74dbcf16ee2df0131517530977491103123a,115.0,2.593214016199617e+17,119.99,3115.882184888326,4.723573779182356,14718.099387559925
14302351,1646153904,0x7c7986a5ddd242c0df0a9f16bcaacda9cac815fa297a2b27e38da0e6682d7dea,70.0,1.8115135841674893e+17,81.95,2969.227462902087,11.762963798974921,34926.9151570394
14450780,1648148997,0x3afd6059d65c3925063bd7fc80f260022c9fed04800b2b92117b17529b880436,70.0,5.1e+16,70.95,3110.4309601890886,0.8904960514716299,2769.826488423494
14521046,1649095590,0x748332a389b6fef22cb5a6a1deffcffea91305871ffabdad1a1b8a7d611a1ff2,73.0,3.96e+16,75.0,3528.793918894679,1.9541746377183675,6895.879578038787
14632541,1650601725,0xd019d779af165b7b731da9acbfc86b0c007f70424f5a1d91676577c09c1d3a7a,54.0,2.46e+16,59.95,2961.390941966232,5.921360690451664,17535.463912818468
14636977,1650661674,0x67ee0be1041b5c595b28e5d4c80fe1dfdac3bba5d27415a2d6cc57d70cded156,57.0,4.74e+16,67.1621,2961.390941966232,10.106665307878805,29929.78709623665
14649260,1650828019,0x21c3f8de7ed8fa3143625fb205b8b0e10981066cebfe8c109cd66db030a250bd,61.0,3.9e+16,62.95,2914.956803031353,1.9045297620688886,5551.621986518391
14664342,1651033354,0x235fd39ffda6045b789bb1ce5f7664ea768b562181db64993c1676958afe7de0,57.5,2.16e+16,57.5,2887.388696889401,-0.025227995654891675,-72.84302949910915
14756952,1652300429,0x9d7b0c9b53a4095acfb71d13c846f87c57e23c831257b89b4b214fd7d051354d,50.0,2.8459389192070992e+17,55.95,2080.3021859743744,5.646453353482456,11746.32925425189
14907555,1654410056,0xf5c453851ea46c40522186ebd692c4c167e4cb74287aa0c275184e9289f2a441,0.1000000000001,4.455123062202141e+19,59.99,1809.0116901122287,15.33581472682652,27742.66811822445
14907558,1654410103,0xf33a83c746a103ed2c50b92715dbf2f8b096b01a6c6c5a293a1b4242de987d8c,0.1000000000001,4.442425085188786e+19,63.49,1809.0116901122287,18.963346554248083,34304.915600284236
15217979,1658836955,0x4602e13c91425f7d704eac8175366c7216e7b804924c8e8b0c112d23b94b5a3f,67.50000000001201,3.8673427109447546e+17,74.49,1449.3672083968893,6.60121079100796,9567.578456202627
15246975,1659226674,0xe24c7bface77093003c2d16bbc477779865916d2e29fbc02497b083d61edeadb,60.0,2.769684663748124e+18,63.0,1684.082033989432,0.22941638237905027,386.35600786740827
15372301,1660925704,0xa4dacc9c6726103ed6701a3c5f0b1305cb7f8a2287b7ac7b714493a3739cde7b,62.000000000031996,5.201961677045019e+17,65.99,1609.1629941839103,3.467722168304764,5580.130187347216
